,Restaurant,UserID,Menu,Total
109,치킨&강정-노량진점,gu**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
110,치킨&강정-노량진점,ka**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
111,치킨&강정-노량진점,oj**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
112,치킨&강정-노량진점,fe**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
113,치킨&강정-노량진점,jo**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
114,치킨&강정-노량진점,br**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
115,치킨&강정-노량진점,a1**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
116,치킨&강정-노량진점,ma**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),4
117,치킨&강정-노량진점,kh**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),치킨무/1",5
118,치킨&강정-노량진점,ls**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
119,치킨&강정-노량진점,ri**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
120,치킨&강정-노량진점,xw**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
121,치킨&강정-노량진점,ol**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
122,치킨&강정-노량진점,dh**님,"바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(매운맛)),치킨무/2,콜라 1.25L/1",5
123,치킨&강정-노량진점,jo**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),떡/2",5
124,치킨&강정-노량진점,ut**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
125,치킨&강정-노량진점,ki**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
126,치킨&강정-노량진점,gh**님,"SET 1 바삭한 반반 순살 닭강정（中자 1＋中자 1＋콜라500mL＋치킨무）/1(닭강정 中자 맛 선택 1(순한맛),닭강정 中자 맛 선택 2(매운맛),음료 추가선택(변경 안함))",5
127,치킨&강정-노량진점,si**님,"바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(매운맛)),콜라 1.25L/1",5
128,치킨&강정-노량진점,ac**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
129,치킨&강정-노량진점,ma**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),4
130,치킨&강정-노량진점,fd**님,"바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),치킨무/1",5
131,치킨&강정-노량진점,kh**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),3
132,치킨&강정-노량진점,no**님,"SET 1 바삭한 반반 순살 닭강정（中자 1＋中자 1＋콜라500mL＋치킨무）/1(닭강정 中자 맛 선택 1(매운맛),닭강정 中자 맛 선택 2(순한맛),음료 추가선택(사이다 1.25L로 변경))",3
133,치킨&강정-노량진점,gh**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
134,치킨&강정-노량진점,au**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),치킨무/1",5
135,치킨&강정-노량진점,jo**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),떡/1",5
136,치킨&강정-노량진점,ho**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),4
137,치킨&강정-노량진점,au**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),5
138,치킨&강정-노량진점,gu**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),5
139,치킨&강정-노량진점,ma**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
140,치킨&강정-노량진점,dh**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),떡/1",3
141,치킨&강정-노량진점,fk**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
142,치킨&강정-노량진점,kw**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
143,치킨&강정-노량진점,dl**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
144,치킨&강정-노량진점,ch**님,"SET 1 바삭한 반반 순살 닭강정（中자 1＋中자 1＋콜라500mL＋치킨무）/1(닭강정 中자 맛 선택 1(순한맛),닭강정 中자 맛 선택 2(순한맛),음료 추가선택(사이다 500mL로 변경))",5
145,치킨&강정-노량진점,au**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),사이다 1.25L/1",5
146,치킨&강정-노량진점,du**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),2
147,치킨&강정-노량진점,gu**님,"SET 1 바삭한 반반 순살 닭강정（中자 1＋中자 1＋콜라500mL＋치킨무）/1(닭강정 中자 맛 선택 1(순한맛),닭강정 中자 맛 선택 2(매운맛),음료 추가선택(사이다 500mL로 변경))",5
148,치킨&강정-노량진점,al**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
149,치킨&강정-노량진점,7t**님,"SET 1 바삭한 반반 순살 닭강정（中자 1＋中자 1＋콜라500mL＋치킨무）/1(닭강정 中자 맛 선택 1(매운맛),닭강정 中자 맛 선택 2(매운맛),음료 추가선택(변경 안함))",5
150,치킨&강정-노량진점,si**님,"SET 1 바삭한 반반 순살 닭강정（中자 1＋中자 1＋콜라500mL＋치킨무）/1(닭강정 中자 맛 선택 1(순한맛),닭강정 中자 맛 선택 2(매운맛),음료 추가선택(콜라 1.25L로 변경))",5
151,치킨&강정-노량진점,sk**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),4
152,치킨&강정-노량진점,sh**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),5
153,치킨&강정-노량진점,li**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),치킨무/1",5
154,치킨&강정-노량진점,ll**님,"SET 1 바삭한 반반 순살 닭강정（中자 1＋中자 1＋콜라500mL＋치킨무）/1(닭강정 中자 맛 선택 1(매운맛),닭강정 中자 맛 선택 2(순한맛),음료 추가선택(사이다 500mL로 변경))",5
155,치킨&강정-노량진점,gk**님,"SET 1 바삭한 반반 순살 닭강정（中자 1＋中자 1＋콜라500mL＋치킨무）/1(닭강정 中자 맛 선택 1(순한맛),닭강정 中자 맛 선택 2(매운맛),음료 추가선택(변경 안함))",5
156,치킨&강정-노량진점,ej**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
157,치킨&강정-노량진점,yy**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),치킨무/1",5
158,치킨&강정-노량진점,mi**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),4
159,치킨&강정-노량진점,xw**님,"SET 1 바삭한 반반 순살 닭강정（中자 1＋中자 1＋콜라500mL＋치킨무）/1(닭강정 中자 맛 선택 1(매운맛),닭강정 中자 맛 선택 2(순한맛),음료 추가선택(변경 안함))",5
160,치킨&강정-노량진점,wy**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),매운맛 소스/1",5
161,치킨&강정-노량진점,jo**님,"SET 1 바삭한 반반 순살 닭강정（中자 1＋中자 1＋콜라500mL＋치킨무）/1(닭강정 中자 맛 선택 1(순한맛),닭강정 中자 맛 선택 2(매운맛),음료 추가선택(변경 안함))",3
